washington-dc-usa-90387,FLS0001,1987-09-03,Wilson Center,$5,300,Joey Picuri,Fugazi,Cassette,Joe #1,Intro,Song #1,Furniture,Merchandise,Turn Off Your Guns,In Defense Of Humans,Waiting Room,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-92687,FLS0002,1987-09-26,St. Stephen's Church Cafeteria,$5,200,Joey Picuri,Jerry Busher,Cassette,Intro,Turn Off Your Guns,Interlude 1,Song #1,Interlude 2,In Defense of Humans,Furniture,Interlude 3,Waiting Room,Merchandise,Interlude 4,And The Same,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chapel-hill-nc-usa-92787,FLS0003,1987-09-27,Cat's Cradle,$5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richmond-va-usa-100787,FLS0004,1987-10-07,New Horizons,$5,50,Unknown,Warren Russell-Smith,Cassette,And The Same Instrumental,Song #1,Furniture,Interlude 1,In Defense of Humans,Interlude 2,Turn Off Your Guns,Interlude 3,KYEO,Interlude 4,Waiting Room,Interlude 5,Merchandise,Interlude 6,Joe #1,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-101687,FLS0005,1987-10-16,dc space,$5,100,Joey Picuri,Jerry Busher,Cassette,Opening Remarks,Joe #1,Interlude 1,Merchandise,Furniture,Interlude 2,Song #1,Interlude 3,Bad Mouth,Interlude 4,And The Same,Interlude 5,Break-In,Waiting Room,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frederick-md-usa-112587,FLS0006,1987-11-25,Weinberg Center,,,Joey Picuri,Warren Russell-Smith,Cassette,Intro,Joe #1,Song #1,Interlude 1,Bad Mouth,Interlude 2,Merchandise,Furniture,Interlude 3,Turn Off Your Guns,And The Same,Interlude 4,Break-In,Interlude 5,Waiting Room,Encore,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,,
bethesda-md-usa-120287,FLS0007,1987-12-02,BCC High School,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington-dc-usa-120387,FLS0008,1987-12-03,Wilson Center,$5,300,ANON,Warren Russell-Smith,Cassette,Intro,Lockdown Instrumental,Suggestion Instrumental,Opening Remarks,KYEO,The Word,Interlude 1,Song #1,Interlude 2,And The Same,Merchandise,Interlude 3,Furniture,Interlude 4,Break-In,Bad Mouth,Interlude 5,In Defense of Humans,Turn Off Your Guns,Waiting Room,,,,,,,,,,,,,,,,,,,,,,,,
middletown-ct-usa-120487,FLS0009,1987-12-04,Wesleyan University Eclectic House,$5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norwalk-ct-usa-120587,FLS0010,1987-12-05,Anthrax,$5,100,ANON,Warren Russell-Smith,Cassette,Intro,And The Same,Merchandise,Interlude 1,Furniture,Turn Off Your Guns,Interlude 2,Song #1,Interlude 3,Bad Mouth,Interlude 4,Waiting Room,Break-In,Lock Dug,Interlude 5,The Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,
